Mood,Interest,Book
Relaxed,Fiction,The Catcher in the Rye by J.D. Salinger
Sad,Mystery,The Secret History by Donna Tartt
Relaxed,Biography,The Zookeeper's Wife by Diane Ackerman
Curious,Fiction,Of Mice and Men by John Steinbeck
Angry,Adventure,Into the Wild by Jon Krakauer
Anxious,Thriller,Sharp Objects by Gillian Flynn
Hopeful,Action,The Dark Knight Returns by Frank Miller
Anxious,Romance,The Time Traveler's Wife by Audrey Niffenegger
Sad,Biography,Steve Jobs by Walter Isaacson
Angry,Fantasy,The Way of Kings by Brandon Sanderson
Curious,Thriller,The Silent Patient by Alex Michaelides
Relaxed,Action,John Wick by Chad Stahelski
Sad,Thriller,Gone Girl by Gillian Flynn
Anxious,Adventure,Into the Wild by Jon Krakauer
Sad,Romance,The Time Traveler's Wife by Audrey Niffenegger
Happy,Mystery,And Then There Were None by Agatha Christie
Curious,Biography,Long Walk to Freedom by Nelson Mandela
Excited,Biography,The Glass Castle by Jeanette Walls
Happy,Thriller,Gone Girl by Gillian Flynn
Relaxed,Romance,The Rosie Project by Graeme Simsion
Sad,Mystery,The Secret History by Donna Tartt
Happy,Biography,The Diary of a Young Girl by Anne Frank
Sad,Biography,Steve Jobs by Walter Isaacson
Sad,Mystery,And Then There Were None by Agatha Christie
Bored,Romance,Me Before You by Jojo Moyes
Hopeful,Mystery,The Cuckoo's Calling by Robert Galbraith
Excited,Thriller,The Silent Patient by Alex Michaelides
Relaxed,Fiction,The Picture of Dorian Gray by Oscar Wilde
Angry,Fantasy,The Way of Kings by Brandon Sanderson
Sad,Thriller,The Silent Patient by Alex Michaelides
Angry,Non-Fiction,The Power of Habit by Charles Duhigg
Angry,Mystery,The Big Sleep by Raymond Chandler
Sad,Fiction,The Picture of Dorian Gray by Oscar Wilde
Angry,Romance,It Ends with Us by Colleen Hoover
Angry,Thriller,Before I Go to Sleep by S.J. Watson
Relaxed,Adventure,The Martian by Andy Weir
Bored,Biography,The Glass Castle by Jeanette Walls
Sad,Fiction,The Picture of Dorian Gray by Oscar Wilde
Excited,Romance,Me Before You by Jojo Moyes
Hopeful,Romance,The Rosie Project by Graeme Simsion
Hopeful,Adventure,Into the Wild by Jon Krakauer
Relaxed,Fiction,1984 by George Orwell
Angry,Non-Fiction,Sapiens by Yuval Noah Harari
Excited,Fiction,1984 by George Orwell
Excited,Romance,It Ends with Us by Colleen Hoover
Hopeful,Fiction,The Great Gatsby by F. Scott Fitzgerald
Excited,Thriller,The Silent Patient by Alex Michaelides
Angry,Thriller,The Silent Patient by Alex Michaelides
Excited,Adventure,Into the Wild by Jon Krakauer
Relaxed,Mystery,The Cuckoo's Calling by Robert Galbraith
Sad,Thriller,Before I Go to Sleep by S.J. Watson
Hopeful,Romance,The Time Traveler's Wife by Audrey Niffenegger
Hopeful,Adventure,Moby Dick by Herman Melville
Excited,Fantasy,The Name of the Wind by Patrick Rothfuss
Bored,Mystery,And Then There Were None by Agatha Christie
Relaxed,Action,The Hunger Games by Suzanne Collins
Relaxed,Romance,Me Before You by Jojo Moyes
Hopeful,Fiction,The Catcher in the Rye by J.D. Salinger
Hopeful,Biography,The Zookeeper's Wife by Diane Ackerman
Excited,Fantasy,The Name of the Wind by Patrick Rothfuss
Curious,Action,The Bourne Identity by Robert Ludlum
Excited,Thriller,The Girl on the Train by Paula Hawkins
Hopeful,Fiction,The Catcher in the Rye by J.D. Salinger
Excited,Mystery,The Big Sleep by Raymond Chandler
Hopeful,Romance,It Ends with Us by Colleen Hoover
Angry,Fiction,The Picture of Dorian Gray by Oscar Wilde
Happy,Fantasy,A Game of Thrones by George R.R. Martin
Hopeful,Mystery,The Cuckoo's Calling by Robert Galbraith
Sad,Fiction,The Catcher in the Rye by J.D. Salinger
Angry,Adventure,The Martian by Andy Weir
Curious,Fantasy,A Game of Thrones by George R.R. Martin
Relaxed,Biography,Steve Jobs by Walter Isaacson
Curious,Mystery,The Woman in White by Wilkie Collins
Anxious,Mystery,And Then There Were None by Agatha Christie
Excited,Fiction,1984 by George Orwell
Hopeful,Action,John Wick by Chad Stahelski
Excited,Fantasy,The Black Prism by Brent Weeks
Angry,Non-Fiction,Quiet by Susan Cain
Sad,Mystery,The Woman in White by Wilkie Collins
Bored,Fiction,1984 by George Orwell
Bored,Thriller,Sharp Objects by Gillian Flynn
Curious,Biography,The Glass Castle by Jeanette Walls
Bored,Mystery,The Cuckoo's Calling by Robert Galbraith
Relaxed,Action,The Hunger Games by Suzanne Collins
Bored,Mystery,And Then There Were None by Agatha Christie
Bored,Mystery,The Secret History by Donna Tartt
Hopeful,Thriller,The Girl on the Train by Paula Hawkins
Hopeful,Action,The Dark Knight Returns by Frank Miller
Relaxed,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Happy,Adventure,Moby Dick by Herman Melville
Curious,Non-Fiction,Becoming by Michelle Obama
Curious,Adventure,The Hobbit by J.R.R. Tolkien
Anxious,Fiction,Of Mice and Men by John Steinbeck
Hopeful,Romance,Me Before You by Jojo Moyes
Sad,Thriller,The Silent Patient by Alex Michaelides
Curious,Thriller,The Silent Patient by Alex Michaelides
Relaxed,Thriller,Sharp Objects by Gillian Flynn
Hopeful,Thriller,The Girl on the Train by Paula Hawkins
Hopeful,Thriller,The Girl on the Train by Paula Hawkins
Happy,Biography,The Glass Castle by Jeanette Walls
Relaxed,Romance,The Time Traveler's Wife by Audrey Niffenegger
Angry,Thriller,The Silent Patient by Alex Michaelides
Happy,Thriller,Before I Go to Sleep by S.J. Watson
Curious,Thriller,The Silent Patient by Alex Michaelides
Anxious,Romance,Me Before You by Jojo Moyes
Excited,Adventure,The Martian by Andy Weir
Bored,Biography,The Diary of a Young Girl by Anne Frank
Happy,Fantasy,The Black Prism by Brent Weeks
Happy,Adventure,Into the Wild by Jon Krakauer
Sad,Action,John Wick by Chad Stahelski
Angry,Fiction,The Picture of Dorian Gray by Oscar Wilde
Hopeful,Fiction,Of Mice and Men by John Steinbeck
Hopeful,Mystery,The Cuckoo's Calling by Robert Galbraith
Curious,Action,John Wick by Chad Stahelski
Hopeful,Romance,The Time Traveler's Wife by Audrey Niffenegger
Anxious,Adventure,The Call of the Wild by Jack London
Happy,Non-Fiction,The Power of Habit by Charles Duhigg
Hopeful,Action,The Bourne Identity by Robert Ludlum
Sad,Fantasy,The Way of Kings by Brandon Sanderson
Angry,Non-Fiction,Outliers by Malcolm Gladwell
Sad,Romance,The Time Traveler's Wife by Audrey Niffenegger
Happy,Thriller,The Silent Patient by Alex Michaelides
Excited,Fiction,The Catcher in the Rye by J.D. Salinger
Hopeful,Biography,Steve Jobs by Walter Isaacson
Bored,Mystery,The Big Sleep by Raymond Chandler
Curious,Thriller,Sharp Objects by Gillian Flynn
Bored,Biography,The Glass Castle by Jeanette Walls
Happy,Adventure,Moby Dick by Herman Melville
Bored,Non-Fiction,Outliers by Malcolm Gladwell
Bored,Fantasy,The Black Prism by Brent Weeks
Sad,Fantasy,The Name of the Wind by Patrick Rothfuss
Anxious,Adventure,The Call of the Wild by Jack London
Hopeful,Mystery,The Woman in White by Wilkie Collins
Curious,Thriller,Before I Go to Sleep by S.J. Watson
Curious,Fantasy,The Black Prism by Brent Weeks
Hopeful,Action,Red Rising by Pierce Brown
Excited,Biography,The Zookeeper's Wife by Diane Ackerman
Excited,Romance,Pride and Prejudice by Jane Austen
Excited,Romance,The Rosie Project by Graeme Simsion
Excited,Action,John Wick by Chad Stahelski
Curious,Romance,The Rosie Project by Graeme Simsion
Bored,Biography,The Zookeeper's Wife by Diane Ackerman
Excited,Romance,The Rosie Project by Graeme Simsion
Sad,Non-Fiction,Quiet by Susan Cain
Relaxed,Biography,The Glass Castle by Jeanette Walls
Angry,Adventure,The Call of the Wild by Jack London
Curious,Non-Fiction,Outliers by Malcolm Gladwell
Excited,Fiction,The Great Gatsby by F. Scott Fitzgerald
Happy,Biography,Steve Jobs by Walter Isaacson
Happy,Adventure,The Hobbit by J.R.R. Tolkien
Bored,Mystery,The Cuckoo's Calling by Robert Galbraith
Angry,Action,The Hunger Games by Suzanne Collins
Angry,Action,The Bourne Identity by Robert Ludlum
Excited,Adventure,The Call of the Wild by Jack London
Sad,Action,The Dark Knight Returns by Frank Miller
Anxious,Action,John Wick by Chad Stahelski
Anxious,Fiction,The Picture of Dorian Gray by Oscar Wilde
Angry,Adventure,Into the Wild by Jon Krakauer
Sad,Fiction,The Catcher in the Rye by J.D. Salinger
Hopeful,Non-Fiction,Sapiens by Yuval Noah Harari
Bored,Fantasy,A Game of Thrones by George R.R. Martin
Sad,Action,The Hunger Games by Suzanne Collins
Happy,Action,The Bourne Identity by Robert Ludlum
Sad,Romance,The Rosie Project by Graeme Simsion
Anxious,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Bored,Mystery,The Big Sleep by Raymond Chandler
Sad,Mystery,And Then There Were None by Agatha Christie
Relaxed,Thriller,Gone Girl by Gillian Flynn
Hopeful,Non-Fiction,Sapiens by Yuval Noah Harari
Sad,Romance,Pride and Prejudice by Jane Austen
Sad,Fantasy,The Name of the Wind by Patrick Rothfuss
Hopeful,Mystery,The Secret History by Donna Tartt
Happy,Action,John Wick by Chad Stahelski
Happy,Mystery,The Woman in White by Wilkie Collins
Anxious,Thriller,The Silent Patient by Alex Michaelides
Anxious,Non-Fiction,The Power of Habit by Charles Duhigg
Bored,Romance,Pride and Prejudice by Jane Austen
Excited,Romance,Me Before You by Jojo Moyes
Angry,Fantasy,A Game of Thrones by George R.R. Martin
Anxious,Fantasy,A Game of Thrones by George R.R. Martin
Angry,Fiction,1984 by George Orwell
Anxious,Thriller,The Silent Patient by Alex Michaelides
Angry,Biography,The Glass Castle by Jeanette Walls
Curious,Non-Fiction,Becoming by Michelle Obama
Angry,Non-Fiction,Outliers by Malcolm Gladwell
Sad,Fiction,The Picture of Dorian Gray by Oscar Wilde
Angry,Mystery,The Big Sleep by Raymond Chandler
Curious,Non-Fiction,The Power of Habit by Charles Duhigg
Hopeful,Action,John Wick by Chad Stahelski
Hopeful,Thriller,The Girl on the Train by Paula Hawkins
Excited,Biography,Steve Jobs by Walter Isaacson
Anxious,Fantasy,The Way of Kings by Brandon Sanderson
Anxious,Fantasy,The Name of the Wind by Patrick Rothfuss
Angry,Non-Fiction,Sapiens by Yuval Noah Harari
Hopeful,Action,John Wick by Chad Stahelski
Relaxed,Romance,Pride and Prejudice by Jane Austen
Excited,Action,The Hunger Games by Suzanne Collins
Bored,Mystery,The Woman in White by Wilkie Collins
Relaxed,Adventure,Into the Wild by Jon Krakauer
Relaxed,Non-Fiction,The Power of Habit by Charles Duhigg
Anxious,Adventure,The Hobbit by J.R.R. Tolkien
Happy,Fantasy,The Name of the Wind by Patrick Rothfuss
Excited,Romance,It Ends with Us by Colleen Hoover
Bored,Mystery,The Woman in White by Wilkie Collins
Bored,Action,John Wick by Chad Stahelski
Sad,Non-Fiction,Outliers by Malcolm Gladwell
Bored,Action,The Bourne Identity by Robert Ludlum
Excited,Non-Fiction,Outliers by Malcolm Gladwell
Angry,Fantasy,The Way of Kings by Brandon Sanderson
Happy,Action,John Wick by Chad Stahelski
Curious,Biography,The Diary of a Young Girl by Anne Frank
Hopeful,Adventure,The Hobbit by J.R.R. Tolkien
Angry,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Excited,Romance,The Rosie Project by Graeme Simsion
Curious,Non-Fiction,Sapiens by Yuval Noah Harari
Bored,Action,The Bourne Identity by Robert Ludlum
Curious,Mystery,The Big Sleep by Raymond Chandler
Hopeful,Thriller,Gone Girl by Gillian Flynn
Relaxed,Thriller,Gone Girl by Gillian Flynn
Sad,Action,Red Rising by Pierce Brown
Angry,Mystery,The Big Sleep by Raymond Chandler
Anxious,Fiction,1984 by George Orwell
Curious,Mystery,The Cuckoo's Calling by Robert Galbraith
Anxious,Thriller,Before I Go to Sleep by S.J. Watson
Happy,Fiction,Of Mice and Men by John Steinbeck
Hopeful,Non-Fiction,Quiet by Susan Cain
Curious,Action,John Wick by Chad Stahelski
Excited,Mystery,And Then There Were None by Agatha Christie
Hopeful,Fiction,1984 by George Orwell
Hopeful,Fiction,The Catcher in the Rye by J.D. Salinger
Curious,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Curious,Romance,The Rosie Project by Graeme Simsion
Bored,Fiction,The Catcher in the Rye by J.D. Salinger
Relaxed,Mystery,The Secret History by Donna Tartt
Anxious,Adventure,Into the Wild by Jon Krakauer
Curious,Adventure,The Hobbit by J.R.R. Tolkien
Bored,Romance,The Time Traveler's Wife by Audrey Niffenegger
Hopeful,Adventure,The Call of the Wild by Jack London
Curious,Mystery,The Woman in White by Wilkie Collins
Excited,Mystery,And Then There Were None by Agatha Christie
Relaxed,Thriller,The Girl on the Train by Paula Hawkins
Hopeful,Non-Fiction,The Power of Habit by Charles Duhigg
Anxious,Biography,The Diary of a Young Girl by Anne Frank
Hopeful,Thriller,Before I Go to Sleep by S.J. Watson
Anxious,Biography,Long Walk to Freedom by Nelson Mandela
Relaxed,Thriller,Before I Go to Sleep by S.J. Watson
Curious,Fantasy,The Name of the Wind by Patrick Rothfuss
Excited,Romance,Pride and Prejudice by Jane Austen
Sad,Adventure,The Martian by Andy Weir
Sad,Fantasy,A Game of Thrones by George R.R. Martin
Relaxed,Romance,Me Before You by Jojo Moyes
Excited,Fiction,The Catcher in the Rye by J.D. Salinger
Curious,Adventure,Moby Dick by Herman Melville
Sad,Thriller,Gone Girl by Gillian Flynn
Hopeful,Biography,Long Walk to Freedom by Nelson Mandela
Curious,Non-Fiction,Becoming by Michelle Obama
Angry,Thriller,The Silent Patient by Alex Michaelides
Bored,Thriller,The Silent Patient by Alex Michaelides
Curious,Thriller,Before I Go to Sleep by S.J. Watson
Happy,Fiction,The Catcher in the Rye by J.D. Salinger
Angry,Fantasy,The Black Prism by Brent Weeks
Sad,Action,John Wick by Chad Stahelski
Happy,Fantasy,The Way of Kings by Brandon Sanderson
Sad,Fiction,The Picture of Dorian Gray by Oscar Wilde
Sad,Fantasy,The Way of Kings by Brandon Sanderson
Happy,Adventure,Into the Wild by Jon Krakauer
Hopeful,Thriller,Before I Go to Sleep by S.J. Watson
Hopeful,Thriller,The Girl on the Train by Paula Hawkins
Anxious,Biography,The Zookeeper's Wife by Diane Ackerman
Sad,Fantasy,The Name of the Wind by Patrick Rothfuss
Bored,Biography,Long Walk to Freedom by Nelson Mandela
Curious,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Excited,Fiction,Of Mice and Men by John Steinbeck
Curious,Romance,Pride and Prejudice by Jane Austen
Happy,Thriller,The Girl on the Train by Paula Hawkins
Angry,Mystery,And Then There Were None by Agatha Christie
Relaxed,Fiction,1984 by George Orwell
Excited,Romance,The Time Traveler's Wife by Audrey Niffenegger
Hopeful,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Hopeful,Non-Fiction,Quiet by Susan Cain
Happy,Action,The Bourne Identity by Robert Ludlum
Bored,Fiction,The Catcher in the Rye by J.D. Salinger
Bored,Fantasy,The Way of Kings by Brandon Sanderson
